id,Province,Agroecological.zones,Crop,Grp.Crop,Regime,Code_Stage,birth.day,sampling.date,Base.Feed,Second.feed.1,second.feed.1.date,second.feed..2,second.feed..2.date,Sampling.Timing.Vs.second.feed.timing,Mos.,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,IND1,IND2,IND3,IND4,IND5,IND6,IND7,IND8,IND9,B1,B2,B3,B4,B5,B6,B6_VCID_1,B6_VCID_2,B7,FVC,LST,NDVI,AI,ETP_jan_mars,ETP_oct_dec,ETP_oct_mars,EVI_Diff,EVI_RUE,EVI_fev,EVI_jan,EVI_jan_mars,EVI_mars,EVI_max,EVI_min,EVI_oct_dec,EVI_oct_mars,EVIsum,FAPAR_RUE,FAPAR_jan_mars,FAPAR_oct_dec,FAPAR_oct_mars,FAPARsum,Fpar_Diff,Fpar_fev,Fpar_jan,Fpar_mars,Fpar_max,Fpar_min,LAI_Diff,LAI_fev,LAI_jan,LAI_jan_mars,LAI_mars,LAI_max,LAI_min,LAI_oct_dec,LAI_oct_mars,LAIsum,LST_DAY_jan_mars,LST_DAY_oct_dec,LST_Night_jan_mars,LST_Night_oct_dec,NDVI_Diff,NDVI_RUE,NDVI_fev,NDVI_jan,NDVI_jan_mars,NDVI_mars,NDVI_max,NDVI_min,NDVI_oct_dec,NDVI_oct_mars,NDVIsum,P_dec_fev,P_oct_mars,P_sep_nov,pH,Ec,MO,K20,P2O5
2069,Safi,défavorable,Blé tendre,Wheat,,S1,01/11/2019,29/01/2020,Yes,Yes,01/01/2020,No,,After,88%,0.134,0.001,0.179,0.088,0.104,0.094,0.065,0.111,0.228,0.263,0.255,0.283,0.119,0.409,0.002,2.909,0.468,0.686,825.751,828.907,0.368,2.126,308.66,596.66,375.65,"4,150.48","1,776.74","3,362.78",336.29,336.61,706.12,25.05,339.59,0.96,3.92,"2,399.02",228.74,658.95,-0.53,2.27,0.59,0.36,0.56,0.58,0.63,0.1,0.13,0.31,3.82,6.68,0.81,0.12,0.54,11.24,0.85,0.82,0.61,0.87,0.95,0.1,3.57,2.36,1.04,2.24,2.59,3.68,0.12,0.23,0.92,28.06,27.82,26.62,11.68,13.24,-0.66,4.12,0.91,0.72,0.86,0.86,0.93,0.27,0.36,0.66,6.93,116.12,193.55,49.28,,,,,
2076,Safi,défavorable,Blé tendre,Wheat,,S1,01/11/2019,30/01/2020,Yes,Yes,01/01/2020,No,,After,88%,0.15,0.002,0.246,0.157,0.113,0.111,0.087,0.148,0.264,0.305,0.309,0.331,0.115,0.389,0.003,2.205,0.4,0.644,824.248,827.592,0.394,2.528,,,,,,,,,,19.9,,,3.41,"2,160.05",223.68,545.45,-0.2,1.73,0.28,0.37,0.28,0.17,0.33,0.12,0.13,0.22,2.76,5.32,0.49,0.17,0.36,8.5,0.56,0.5,0.6,0.22,0.67,0.1,1.04,0.81,0.98,0.81,0.35,1.15,0.12,0.23,0.46,13.69,31.63,27.84,11.16,12.18,-0.28,2.94,0.46,0.63,0.46,0.32,0.49,0.21,0.26,0.42,4.69,107.81,183.76,52.83,,,,,
2082,Taounate,favorable supérieur,Blé tendre,Wheat,,S2,29/11/2019,10/02/2020,Yes,Yes,10/01/2020,No,,No Seconde N,64%,0.144,0.001,0.132,0.061,0.102,0.085,0.049,0.085,0.277,0.37,0.363,0.394,0.132,1.044,0.001,6.1,0.719,0.876,834.798,836.824,0.549,2.82,404.85,667.14,551.27,"3,437.02","1,801.71","3,304.50",330.48,330.69,"1,025.04",20.61,332.9,0.83,1.61,"2,313.11",310.39,582.36,-0.43,1.29,0.55,0.53,0.55,0.55,0.6,0.17,0.25,0.47,4.65,3.61,0.75,0.31,0.68,13.05,0.64,0.78,0.75,0.68,0.81,0.16,1.73,1.67,1.44,1.61,1.78,1.96,0.23,0.46,1.38,26.22,25.02,20.71,11.3,10.38,-0.57,2.27,0.9,0.89,0.87,0.81,0.9,0.33,0.6,0.83,8.2,180.83,415.23,133.29,,,,,
2087,Safi,défavorable,Blé dur ,Wheat,,S1,01/11/2019,11/02/2020,Yes,Yes,01/01/2020,No,,After,85%,0.165,0.002,0.272,0.186,0.132,0.125,0.119,0.16,0.285,0.336,0.327,0.36,0.103,0.386,0.001,3.523,0.408,0.535,829.946,832.578,0.351,2.855,800.12,"1,209.61","1,444.18","3,438.77","3,117.35","3,444.25",344.4,344.51,"2,333.89",16.75,349.19,0.47,4.63,"2,267.69",253,612.84,-0.22,2.61,0.4,0.34,0.38,0.36,0.42,0.2,0.25,0.29,3.45,6.28,0.45,0.25,0.36,8.3,0.36,0.49,0.45,0.33,0.54,0.18,0.58,0.81,0.58,0.63,0.58,0.81,0.23,0.35,0.46,11.16,32.58,30,11.55,12.48,-0.31,4.04,0.61,0.54,0.57,0.51,0.62,0.31,0.42,0.47,5.34,100.93,152.07,35.57,,,,,
2091,Safi,défavorable,Blé tendre,Wheat,,S2,17/11/2019,04/03/2020,Yes,Yes,20/01/2020,No,,No Seconde N,80%,0.16,0.002,0.334,0.234,0.127,0.125,0.129,0.179,0.288,0.341,0.351,0.382,0.174,0.34,0.002,2.463,0.357,0.533,828.394,831.22,0.363,3.324,731.93,"1,179.34","1,167.25","3,698.07","3,106.92","3,441.70",344.15,344.38,"1,821.72",14.32,348.18,0.6,6.08,"2,526.32",342.7,735.43,-0.24,1.69,0.3,0.29,0.28,0.14,0.33,0.1,0.1,0.15,2.04,5.6,0.43,0.14,0.23,6.77,0.44,0.47,0.53,0.28,0.54,0.1,0.69,0.81,0.75,0.63,0.46,0.81,0.12,0.23,0.35,10.12,36.64,30.14,11.45,11.47,-0.34,3.14,0.49,0.52,0.48,0.28,0.54,0.2,0.22,0.28,3.79,85.46,139.09,31.34,,,,,
2095,Essaouira,défavorable,Orge,Barley,,S2,19/11/2019,12/03/2020,Yes,No,,No,,No N topDress ,94%,0.218,,,,0.206,0.22,0.284,0.313,0.354,0.387,0.386,0.424,0.179,0.116,0,1.627,0.122,0.174,830.857,833.375,0.141,2.6,765.04,"1,199.07","1,311.98","3,585.74","3,746.01","3,434.60",343.45,343.35,"2,581.39",14.32,347.5,0.54,5.4,"2,477.21",298.54,653.66,-0.2,1.73,0.29,0.26,0.26,0.17,0.3,0.1,0.12,0.16,2.09,5.29,0.35,0.21,0.23,6.39,0.38,0.37,0.39,0.2,0.48,0.1,0.58,0.69,0.46,0.58,0.35,0.69,0.12,0.23,0.35,9.08,35.95,30.37,11.75,11.26,-0.26,3.09,0.48,0.44,0.43,0.31,0.48,0.22,0.25,0.3,3.73,85.46,139.09,31.34,,,,,
2102,Taounate,favorable supérieur,Blé tendre,Wheat,,S2,27/11/2019,11/03/2020,Yes,Yes,10/01/2020,No,,No Seconde N,77%,0.158,,,,0.125,0.117,0.113,0.154,0.269,0.342,0.348,0.394,0.12,0.402,0.001,3.247,0.436,0.588,834.192,836.293,0.393,3.27,282.64,495.56,290.92,"3,219.87","1,452.61","3,302.80",330.3,330.28,511.39,20.61,332.42,0.96,1.06,"2,045.97",152.61,411.82,-0.59,1.17,0.66,0.63,0.6,0.38,0.67,0.09,0.13,0.53,4.56,3.54,0.87,0.29,0.61,13.78,0.87,0.9,0.98,0.59,0.97,0.09,3.91,2.65,3.34,2.24,1.21,4.03,0.12,0.35,1.27,43.7,24.25,24.15,10.52,11.83,-0.81,1.99,1,0.97,0.96,0.61,1.01,0.2,0.4,0.78,7.74,189.51,447.03,132.46,,,,,
2103,Taounate,favorable supérieur,Blé tendre,Wheat,,S1,29/11/2019,10/02/2020,Yes,Yes,28/01/2020,No,,After,97%,0.142,0.002,0.178,0.078,0.106,0.091,0.055,0.096,0.304,0.403,0.395,0.424,0.15,1.101,0.001,5.758,0.707,0.871,834.306,836.393,0.573,2.965,385.08,622.15,530.49,"3,807.32","1,753.02","3,354.95",335.53,335.57,830.4,15.9,338.47,0.87,1.56,"2,251.70",184.92,511.18,-0.46,1.13,0.53,0.5,0.47,0.3,0.56,0.1,0.16,0.4,3.71,3.27,0.75,0.15,0.46,10.73,0.75,0.78,0.79,0.41,0.85,0.1,2.3,1.9,1.61,1.55,0.75,2.42,0.12,0.23,0.81,21.62,28.13,23.31,9.5,9.9,-0.65,2,0.85,0.84,0.8,0.51,0.89,0.24,0.38,0.6,6.57,165.62,377.56,126.65,,,,,
2130,Sidi Kacem,favorable supérieur,Blé tendre,Wheat,,S1,21/11/2019,01/01/2020,Yes,Yes,29/01/2020,No,,Befor,79%,0.15,0.002,0.169,0.077,0.114,0.099,0.062,0.101,0.228,0.27,0.261,0.286,0.072,0.468,0.001,3.787,0.524,0.707,828.559,831.364,0.382,1.905,299.76,535.9,427.07,"2,487.47","1,398.97","3,351.51",336.6,336.68,524.29,14.82,337.76,0.81,1.49,"2,166.37",254.61,470.12,-0.39,1.01,0.41,0.47,0.38,0.22,0.48,0.09,0.12,0.3,3.17,2.72,0.6,0.13,0.31,8.57,0.64,0.6,0.7,0.2,0.71,0.07,1.15,1.15,1.32,1.04,0.35,1.27,0.12,0.23,0.46,15.18,30.41,24.28,10.79,11.83,-0.64,2.02,0.77,0.85,0.75,0.41,0.85,0.21,0.34,0.59,6.36,158.76,362.43,134.18,,,,,
2158,El Hajeb,favorable,Blé tendre,Wheat,,S2,,26/03/2020,Yes,No,,No,,No N topDress ,82%,0.143,0.002,0.302,0.197,0.117,0.119,0.113,0.165,0.294,0.344,0.35,0.377,0.173,0.413,0.002,2.887,0.406,0.589,827.754,830.659,0.395,3.223,,,,,,,,,,17.18,,,2.54,"2,838.32",341.78,786.71,-0.08,1.2,0.33,0.32,0.34,0.34,0.37,0.29,0.37,0.36,3.72,3.92,0.55,0.55,0.55,12.14,0.1,0.55,0.53,0.46,0.56,0.46,0.46,1.09,0.81,0.81,0.81,1.15,0.69,0.81,0.81,20.24,19.15,16.46,5.12,5.03,-0.1,2.42,0.68,0.66,0.66,0.61,0.69,0.59,0.7,0.69,7.48,151.35,356,96.12,,,,,
2175,Meknès,favorable,Blé tendre,Wheat,,S1,25/11/2019,11/02/2020,Yes,Yes,20/01/2020,No,,After,88%,0.127,0.002,0.171,0.08,0.096,0.09,0.055,0.101,0.293,0.367,0.36,0.39,0.136,0.907,0.002,4.747,0.654,0.848,831.306,833.767,0.533,2.762,368,650.9,496.67,"3,181.40","2,033.15","3,386.75",338.62,338.65,"1,053.40",14.82,341.24,0.84,2.72,"2,376.71",297.39,692.19,-0.37,1.65,0.44,0.59,0.44,0.3,0.52,0.15,0.2,0.36,4.22,4.88,0.79,0.29,0.53,12.44,0.86,0.81,0.83,0.48,0.94,0.08,2.53,2.36,1.78,1.9,0.98,2.65,0.12,0.35,1.15,27.83,26.9,22.62,9.59,10.61,-0.56,2.76,0.73,0.87,0.73,0.54,0.81,0.25,0.49,0.65,7.03,128.53,293.08,112.75,,,,,
2178,Meknès,favorable,Blé tendre,Wheat,,S1,25/11/2019,10/02/2020,Yes,Yes,15/01/2020,No,,After,86%,0.134,0.002,0.27,0.167,0.111,0.114,0.112,0.158,0.288,0.337,0.339,0.368,0.135,0.411,0.001,3.257,0.416,0.578,828.486,831.3,0.381,3.35,,,,,,,,,,15.93,,,2.64,"2,441.11",320.85,650.32,-0.31,1.5,0.38,0.44,0.43,0.41,0.46,0.14,0.23,0.38,3.7,5.2,0.78,0.23,0.62,12.81,0.71,0.82,0.82,0.62,0.85,0.14,2.07,1.78,1.73,1.67,1.38,2.3,0.23,0.35,1.38,26.56,26.45,23.36,9.03,9.76,-0.49,2.51,0.61,0.71,0.7,0.65,0.72,0.23,0.45,0.59,6.2,133.69,283.53,92.65,,,,,
2185,El Hajeb,favorable,Blé dur,Wheat,,S2,10/12/2019,10/03/2020,Yes,Yes,10/01/2020,No,,No Seconde N,82%,0.141,,,,0.108,0.102,0.086,0.128,0.264,0.313,0.315,0.337,0.164,0.471,0.001,3.72,0.484,0.659,829.163,831.893,0.406,2.972,854.56,"1,493.72","1,559.26","4,442.29","3,820.14","3,375.74",337.59,337.47,"2,707.62",13.71,340.81,0.55,2.42,"2,230.89",278.07,610.08,-0.31,1.39,0.42,0.39,0.41,0.42,0.44,0.14,0.17,0.38,3.51,4.07,0.62,0.21,0.53,10.28,0.61,0.68,0.66,0.57,0.71,0.1,1.5,1.38,1.09,1.27,1.27,1.61,0.12,0.35,0.81,18.52,25.19,21.29,10.99,10.06,-0.46,2.25,0.64,0.61,0.64,0.63,0.69,0.23,0.36,0.57,5.67,134.35,290.15,101.88,,,,,
2191,Khémisset,favorable,Blé dur ,Wheat,,S1,15/11/2019,10/02/2020,Yes,Yes,15/01/2020,No,,After,94%,0.134,0.001,0.244,0.15,0.103,0.098,0.082,0.125,0.264,0.311,0.307,0.333,0.122,0.483,0.001,3.638,0.489,0.667,828.495,831.308,0.404,3.006,647.45,912.4,956.68,"3,516.66","2,548.93","3,349.95",335,334.97,"1,453.04",20.21,338.72,0.66,2.73,"2,422.93",305.79,718.29,-0.37,1.45,0.48,0.44,0.42,0.28,0.53,0.16,0.24,0.35,3.82,4.54,0.66,0.33,0.53,11.96,0.58,0.66,0.76,0.44,0.79,0.22,1.27,1.32,1.44,1.27,0.81,1.61,0.35,0.46,0.92,21.74,27.73,21.86,10.12,11.26,-0.53,2.46,0.75,0.73,0.69,0.51,0.8,0.28,0.43,0.65,6.49,141.81,302.84,101.77,,,,,
2196,Chefchaouen,Montagne,Blé dur,Wheat,,S2,13/12/2019,08/04/2020,Yes,Yes,01/03/2020,Yes,23/03/2020,Befor,77%,0.147,0.002,0.193,0.105,0.108,0.108,0.082,0.132,0.267,0.313,0.303,0.327,0.121,0.466,0.002,3.084,0.467,0.659,827.348,830.305,0.396,2.466,,,,,,,,,,15.7,,,2.09,"2,175.92",128.46,551.08,-0.54,1.25,0.53,0.44,0.42,0.27,0.59,0.04,0.11,0.35,3.28,3.68,0.67,0.17,0.37,9.68,0.68,0.71,0.72,0.35,0.78,0.1,1.5,1.44,1.38,1.27,0.63,1.61,0.12,0.23,0.58,17.48,30.29,23.62,9.5,10.57,-0.77,2.36,0.84,0.79,0.76,0.49,0.91,0.14,0.34,0.54,6.21,148.93,302.78,89.96,,,,,
2200,Khémisset,favorable,Blé tendre,Wheat,,S2,29/11/2019,03/03/2020,Yes,No,,No,,No N topDress ,70%,0.135,0.001,0.189,0.122,0.106,0.098,0.09,0.119,0.211,0.245,0.24,0.266,0.104,0.275,0.001,3.547,0.397,0.524,829.157,831.887,0.287,2.591,,,,,,,,,,23.81,,,2.1,"2,138.20",258.29,516.12,-0.31,0.91,0.34,0.32,0.31,0.23,0.37,0.06,0.1,0.15,2.25,2.85,0.46,0.13,0.3,7.02,0.47,0.49,0.48,0.29,0.56,0.09,0.81,0.86,0.69,0.75,0.52,0.92,0.12,0.23,0.46,11.27,31.41,28.83,9.92,10.29,-0.49,2.08,0.67,0.67,0.62,0.47,0.69,0.2,0.27,0.47,5.13,134.51,283.28,101.85,,,,,
2204,Khémisset,favorable,Blé tendre,Wheat,,S1,30/10/2019,09/02/2020,Yes,Yes,12/02/2020,No,,Befor,91%,0.136,0.002,0.192,0.092,0.105,0.1,0.06,0.113,0.298,0.361,0.352,0.38,0.129,0.797,0.002,4.09,0.603,0.813,829.334,832.042,0.509,2.459,340.47,634.81,473.95,"3,639.88","2,033.87","3,355.23",335.56,335.07,955.01,20.69,339.32,0.89,2.48,"2,296.21",256.34,654.93,-0.45,1.42,0.57,0.44,0.53,0.44,0.58,0.13,0.15,0.35,3.74,4.1,0.63,0.21,0.56,10.8,0.68,0.69,0.66,0.58,0.83,0.15,1.61,1.38,1.09,1.27,1.21,1.84,0.23,0.35,1.04,20.01,25.19,21.88,11.29,12.89,-0.61,2.48,0.85,0.78,0.76,0.68,0.87,0.27,0.34,0.67,6.53,153.78,303.09,105.01,,,,,
2211,Khémisset,favorable,Blé tendre,Wheat,,S2,21/11/2019,25/03/2020,Yes,Yes,25/01/2020,No,,No Seconde N,89%,0.141,0.002,0.262,0.171,0.118,0.117,0.145,0.177,0.224,0.254,0.258,0.287,0.124,0.138,0.001,1.731,0.207,0.32,827.319,830.279,0.198,3.158,311.89,545.21,323.33,"4,508.71","1,825.56","3,365.54",336.53,336.81,731.82,15.7,338.63,1,2.26,"2,232.72",260.02,585.01,-0.65,1.77,0.72,0.72,0.69,0.36,0.73,0.07,0.1,0.45,4.57,4.89,0.89,0.1,0.55,12.63,0.94,0.93,0.98,0.45,1.01,0.07,4.6,2.99,3.45,2.24,0.86,4.72,0.12,0.23,0.92,39.68,28.22,23.36,9.57,10.57,-0.81,2.9,0.96,1.01,0.95,0.66,1.01,0.21,0.3,0.73,7.5,141.41,297.14,107.46,,,,,
2212,Khémisset,favorable,Blé tendre,Wheat,,S2,21/11/2019,02/02/2020,Yes,No,,No,,No N topDress ,65%,0.135,,,,0.098,0.088,0.056,0.098,0.27,0.348,0.337,0.368,0.084,0.81,0.001,4.789,0.647,0.822,832.809,835.083,0.501,2.788,306.15,579.97,398.89,"3,748.15","1,768.26","3,359.39",335.94,335.69,780.58,20.02,338.9,0.93,2.71,"2,289.88",276.92,618.13,-0.43,1.69,0.43,0.6,0.43,0.24,0.52,0.09,0.12,0.34,3.85,4.87,0.63,0.15,0.48,11.09,0.72,0.63,0.86,0.29,0.79,0.07,1.5,1.44,2.07,1.44,0.52,1.61,0.12,0.23,1.04,23.46,29.33,25.38,11.05,10.52,-0.64,2.78,0.72,0.89,0.72,0.39,0.84,0.19,0.33,0.61,6.34,127.8,261.96,87.4,,,,,
2239,Khénifra,Montagne,Blé tendre,Wheat,,S2,01/12/2019,03/03/2020,Yes,Yes,21/01/2020,No,,No Seconde N,80%,0.13,,,,0.101,0.098,0.083,0.124,0.247,0.288,0.282,0.302,0.143,0.409,0.001,3.396,0.457,0.63,827.919,830.804,0.367,2.772,529.46,593.91,428.39,"2,258.23",669.01,"3,313.98",331.37,331.38,259.13,23.68,334.45,0.77,2.54,"2,596.93",240.24,647.22,-0.42,1.13,0.38,0.24,0.38,0.5,0.51,0.1,0.1,0.22,2.87,3.66,0.64,0.16,0.39,9.32,0.64,0.67,0.45,0.68,0.75,0.1,1.96,1.55,0.69,1.5,1.73,2.07,0.12,0.23,0.58,18.29,24.98,24.74,7.25,6.61,-0.66,2.13,0.67,0.51,0.67,0.79,0.85,0.19,0.27,0.45,5.4,125.64,292.47,90.42,,,,,
2267,Khouribga,interemédiaire,Orge,Barley,,S1,27/11/2019,11/01/2020,Yes,No,,No,,No N topDress ,84%,0.164,0.003,0.336,0.249,0.138,0.139,0.14,0.183,0.275,0.308,0.307,0.336,0.167,0.252,0.001,2.423,0.292,0.431,825.398,828.598,0.283,2.556,938.74,"1,505.02","1,799.66","3,929.42","4,076.75","3,379.85",338.02,337.75,"2,896.70",20.21,341.67,0.43,3.54,"2,622.69",306.02,732.09,-0.3,1.68,0.42,0.52,0.41,0.37,0.43,0.13,0.14,0.36,3.48,4.28,0.5,0.2,0.36,8.84,0.53,0.5,0.65,0.33,0.67,0.14,1.27,0.98,1.09,0.81,0.58,1.5,0.23,0.23,0.58,14.95,30.91,24.85,9.38,6.77,-0.4,2.52,0.59,0.72,0.59,0.51,0.6,0.19,0.28,0.49,5.21,111.81,237.84,75.51,,,,,
2284,Ouezzane,favorable supérieur,Blé tendre,Wheat,,S2,30/11/2019,08/04/2020,Yes,Yes,22/03/2020,No,,No Seconde N,79%,0.139,0.002,0.17,0.087,0.108,0.1,0.076,0.115,0.228,0.273,0.271,0.296,0.112,0.391,0.001,3.308,0.468,0.648,829.018,831.766,0.365,2.357,479.88,680.28,723.22,"2,125.07","1,549.52","3,254.50",325.5,325.6,886.86,22.01,328.17,0.56,2.7,"2,147.86",199.3,555.11,-0.27,1.25,0.34,0.36,0.3,0.24,0.38,0.1,0.12,0.24,2.57,3.71,0.52,0.1,0.3,7.62,0.59,0.6,0.62,0.32,0.66,0.07,1.27,1.21,1.04,0.92,0.69,1.38,0.12,0.12,0.58,13.45,29.98,27.11,9.12,9.42,-0.45,2.74,0.65,0.73,0.62,0.46,0.72,0.27,0.33,0.51,5.63,129.21,236.53,88.03,,,,,
2287,Berrechid,interemédiaire,Orge,Barley,,S2,,10/03/2020,Yes,No,,No,,No N topDress ,96%,0.144,,,,0.117,0.103,0.114,0.131,0.172,0.194,0.19,0.218,0.107,0.105,0,2.721,0.223,0.289,830.93,833.439,0.15,2.342,697.68,911.27,971.24,"3,121.88","2,159.74","3,290.53",329.07,328.89,"1,256.89",23.45,331.99,0.6,2.84,"2,111.40",200.56,503.7,-0.3,1.74,0.43,0.37,0.37,0.26,0.45,0.15,0.17,0.28,3.09,5.25,0.59,0.2,0.36,9.32,0.71,0.64,0.63,0.35,0.78,0.07,1.5,1.44,1.04,0.92,0.63,1.61,0.12,0.23,0.69,16.22,29.24,28.92,9.89,10.38,-0.46,3.01,0.68,0.64,0.61,0.44,0.71,0.25,0.32,0.47,5.34,120.45,204.15,64.97,,,,,
2294,Béni Mellal,interemédiaire,Blé tendre,Wheat,,S2,20/11/2019,02/04/2020,Yes,Yes,25/01/2020,No,,No Seconde N,89%,0.473,0.002,0.493,0.407,0.362,0.406,0.476,0.513,0.615,0.674,0.543,0.708,0.242,0.237,0,3.169,0.156,0.075,833.001,835.25,0.072,1.807,325.82,533.02,551.69,"2,878.59","1,447.72","3,337.30",333.77,334.4,773.83,8.92,336.51,0.78,3.27,"2,751.72",347.07,787.87,-0.26,1.96,0.49,0.43,0.47,0.51,0.59,0.33,0.38,0.39,4.72,6.59,0.77,0.6,0.7,15.87,0.44,0.78,0.74,0.78,0.86,0.43,1.61,1.96,1.44,1.96,2.3,2.53,0.92,1.15,1.38,35.65,27.46,26.42,9.2,9.65,-0.25,3.45,0.83,0.77,0.8,0.8,0.86,0.61,0.7,0.74,8.31,137.79,276.88,88.49,,,,,
2300,Fkih Ben Salah,interemédiaire,Blé tendre,Wheat,,S2,15/11/2019,05/03/2020,Yes,Yes,15/01/2020,No,,No Seconde N,75%,0.141,,,,0.114,0.11,0.131,0.164,0.235,0.266,0.263,0.29,0.147,0.192,0.001,2.45,0.271,0.385,827.304,830.266,0.235,3.261,,,,,,,322.16,322.64,,12.38,,,3.52,"2,738.38",354.09,833.29,-0.16,2.2,0.43,0.52,0.49,0.5,0.53,0.37,0.46,0.48,5.2,6.71,0.7,0.66,0.7,15.87,0.25,0.69,0.71,0.71,0.77,0.52,1.04,1.61,1.27,1.61,1.84,2.19,1.15,1.27,1.38,33.58,28.46,25.73,9.68,10.04,-0.21,3.26,0.67,0.75,0.71,0.71,0.73,0.53,0.68,0.7,7.72,146.87,271.9,90.81,,,,,
2305,Berrechid,interemédiaire,Orge,Barley,,S2,16/11/2019,09/03/2020,Yes,No,,No,,No N topDress ,77%,0.154,,,,0.134,0.135,0.165,0.191,0.247,0.277,0.281,0.305,0.134,0.144,0,2.444,0.211,0.297,829.797,832.448,0.195,2.933,"1,182.20","1,646.04","2,091.90","3,432.69","4,398.83","3,405.13",340.51,341.04,"3,421.43",21.16,345.54,0.28,2.13,"1,995.25",182.51,447.7,-0.33,1.43,0.36,0.4,0.31,0.18,0.48,0.15,0.17,0.22,3.01,4.45,0.56,0.18,0.31,9.34,0.64,0.6,0.7,0.25,0.76,0.12,1.15,1.27,1.21,0.98,0.4,1.38,0.23,0.35,0.46,16.45,30.88,26.51,9.9,11.4,-0.49,2.59,0.59,0.7,0.54,0.35,0.75,0.26,0.36,0.44,5.44,149.66,241.26,65.59,,,,,
2309,Ouezzane,favorable supérieur,Blé tendre,Wheat,,S2,15/12/2019,08/04/2020,Yes,Yes,26/03/2020,No,,No Seconde N,69%,0.134,0.001,0.156,0.073,0.103,0.095,0.063,0.108,0.286,0.361,0.356,0.385,0.134,0.786,0.002,4.5,0.619,0.805,831.922,834.306,0.509,2.834,657.16,984.94,"1,064.99","2,549.55","2,343.41","3,398.25",339.8,339.74,"1,535.76",28.92,344.87,0.47,2.49,"2,085.30",248.86,511.41,-0.27,1.11,0.31,0.29,0.26,0.15,0.37,0.1,0.13,0.17,2.29,3.69,0.54,0.15,0.29,7.57,0.63,0.58,0.6,0.22,0.72,0.09,1.27,1.09,0.98,0.86,0.46,1.38,0.12,0.23,0.35,12.88,30.62,27.45,9.86,11.33,-0.43,2.39,0.59,0.6,0.53,0.32,0.68,0.25,0.29,0.4,4.9,142.41,235.85,68.23,,,,,
2313,Berrechid,interemédiaire,Orge,Barley,,S2,10/12/2019,09/03/2020,Yes,No,,No,,No N topDress ,86%,0.165,,,,0.142,0.13,0.145,0.158,0.178,0.196,0.2,0.221,0.1,0.058,0,1.773,0.124,0.183,833.74,835.897,0.103,1.984,621,945.3,"1,053.40","2,553.00","2,569.10","3,404.00",340.39,339.74,"1,647.95",28.92,345.44,0.48,2.49,"2,085.30",248.86,511.41,-0.27,1.11,0.31,0.29,0.26,0.15,0.37,0.1,0.13,0.17,2.29,3.69,0.54,0.15,0.29,7.57,0.63,0.58,0.6,0.22,0.72,0.09,1.27,1.09,0.98,0.86,0.46,1.38,0.12,0.23,0.35,12.88,30.62,27.45,9.86,11.33,-0.43,2.39,0.59,0.6,0.53,0.32,0.68,0.25,0.29,0.4,4.9,142.41,235.85,68.23,,,,,
2320,Settat,interemédiaire,Blé tendre,Wheat,,S1,01/12/2019,11/02/2020,Yes,No,,No,,No N topDress ,80%,0.146,0.001,0.18,0.097,0.11,0.098,0.069,0.105,0.229,0.272,0.265,0.288,0.096,0.443,0.001,3.99,0.511,0.676,829.41,832.109,0.372,2.194,503.08,723.35,736,"2,422.83","2,147.05","3,415.75",341.59,341.4,"1,328.27",23.81,346.6,0.61,2.69,"2,085.87",260.48,539.93,-0.29,1,0.29,0.26,0.22,0.15,0.38,0.08,0.1,0.15,2.01,3.15,0.42,0.1,0.16,6.31,0.59,0.52,0.51,0.15,0.66,0.07,1.04,0.92,0.81,0.63,0.29,1.15,0.12,0.12,0.35,10.24,33.83,31.34,9.68,11.01,-0.51,2.46,0.61,0.65,0.54,0.32,0.75,0.24,0.27,0.38,4.93,134.15,230.77,71.83,,,,,
2321,Settat,interemédiaire,Blé tendre,Wheat,,S2,01/12/2019,02/03/2020,Yes,No,,No,,No N topDress ,67%,0.145,,,,0.114,0.107,0.101,0.133,0.198,0.225,0.221,0.244,0.084,0.185,0.001,2.331,0.296,0.427,826.373,829.451,0.23,2.253,503.08,723.35,736,"2,422.83","2,147.05","3,415.75",341.59,341.4,"1,328.27",23.81,346.6,0.61,2.69,"2,085.87",260.48,539.93,-0.29,1,0.29,0.26,0.22,0.15,0.38,0.08,0.1,0.15,2.01,3.15,0.42,0.1,0.16,6.31,0.59,0.52,0.51,0.15,0.66,0.07,1.04,0.92,0.81,0.63,0.29,1.15,0.12,0.12,0.35,10.24,33.83,31.34,9.68,11.01,-0.51,2.46,0.61,0.65,0.54,0.32,0.75,0.24,0.27,0.38,4.93,134.15,230.77,71.83,,,,,
