id,Province,Agroecological.zones,Crop,Grp.Crop,Regime,Code_Stage,birth.day,sampling.date,Base.Feed,Second.feed.1,second.feed.1.date,second.feed..2,second.feed..2.date,Sampling.Timing.Vs.second.feed.timing,Mos.,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,IND1,IND2,IND3,IND4,IND5,IND6,IND7,IND8,IND9,B1,B2,B3,B4,B5,B6,B6_VCID_1,B6_VCID_2,B7,FVC,LST,NDVI,AI,ETP_jan_mars,ETP_oct_dec,ETP_oct_mars,EVI_Diff,EVI_RUE,EVI_fev,EVI_jan,EVI_jan_mars,EVI_mars,EVI_max,EVI_min,EVI_oct_dec,EVI_oct_mars,EVIsum,FAPAR_RUE,FAPAR_jan_mars,FAPAR_oct_dec,FAPAR_oct_mars,FAPARsum,Fpar_Diff,Fpar_fev,Fpar_jan,Fpar_mars,Fpar_max,Fpar_min,LAI_Diff,LAI_fev,LAI_jan,LAI_jan_mars,LAI_mars,LAI_max,LAI_min,LAI_oct_dec,LAI_oct_mars,LAIsum,LST_DAY_jan_mars,LST_DAY_oct_dec,LST_Night_jan_mars,LST_Night_oct_dec,NDVI_Diff,NDVI_RUE,NDVI_fev,NDVI_jan,NDVI_jan_mars,NDVI_mars,NDVI_max,NDVI_min,NDVI_oct_dec,NDVI_oct_mars,NDVIsum,P_dec_fev,P_oct_mars,P_sep_nov,pH,Ec,MO,K20,P2O5
1967,Meknès,favorable,Blé tendre,Wheat,,S1,05/12/2019,11/02/2020,Yes,Yes,15/01/2020,No,,After,83%,0.151,0.002,0.299,0.189,0.122,0.118,0.103,0.149,0.283,0.335,0.331,0.363,0.149,0.441,0.002,3.382,0.442,0.604,828.98,831.733,0.39,2.814,380.53,686.51,450.72,"4,430.46","1,749.37","3,295.11",329.52,329.49,721.7,20.61,331.57,0.94,1.9,"2,031.94",229.08,556.03,-0.5,1.98,0.7,0.62,0.64,0.55,0.74,0.24,0.4,0.56,5.79,5.09,0.8,0.53,0.66,14.89,0.63,0.83,0.85,0.59,0.94,0.31,3.11,2.42,2.01,1.78,1.38,3.57,0.46,0.81,1.5,34.5,23.45,22.97,11.22,11.47,-0.57,2.83,0.88,0.82,0.82,0.76,0.94,0.37,0.74,0.81,8.29,172.29,336.36,97.73,,,,,
1973,Sidi Slimane,favorable,Blé tendre,Wheat,,S2,15/10/2019,02/03/2020,Yes,No,,No,,No N topDress ,67%,0.154,0.002,0.246,0.151,0.116,0.11,0.099,0.144,0.243,0.288,0.285,0.321,0.114,0.318,0.001,2.538,0.383,0.557,827.854,830.748,0.335,2.687,523.79,854.45,706.58,"2,597.48","2,085.62","3,282.17",328.22,327.89,"1,514.19",20.61,330.89,0.66,1.74,"2,176.15",198.03,556.14,-0.47,1.31,0.59,0.5,0.5,0.46,0.6,0.12,0.23,0.45,4.21,4.05,0.76,0.33,0.64,12.98,0.72,0.83,0.8,0.6,0.87,0.15,2.53,2.19,1.78,1.84,1.5,2.76,0.23,0.46,1.27,28.87,24.23,23.61,10.75,10.94,-0.68,2.05,0.83,0.76,0.76,0.63,0.88,0.19,0.49,0.62,6.57,178.72,368.56,110.6,,,,,
1978,Sidi Slimane,favorable,Blé tendre,Wheat,,S2,10/11/2019,02/03/2020,Yes,Yes,28/01/2020,No,,No Seconde N,69%,0.163,0.002,0.319,0.212,0.132,0.13,0.142,0.184,0.268,0.314,0.311,0.356,0.121,0.249,0.001,2.281,0.299,0.429,829.136,831.869,0.284,3.017,688,981.92,971.46,"4,026.96","2,731.83","3,310.98",331.13,331.31,"1,480.75",20.61,334.26,0.7,2.21,"2,085.18",245.99,531.76,-0.24,1.61,0.35,0.55,0.35,0.22,0.38,0.14,0.19,0.31,3.88,4.59,0.48,0.31,0.46,11.06,0.64,0.48,0.72,0.33,0.75,0.1,1.27,0.98,1.38,0.98,0.63,1.38,0.12,0.46,0.81,20.7,28.9,22.68,11.43,11.21,-0.38,2.65,0.61,0.84,0.61,0.37,0.62,0.24,0.42,0.61,6.38,150.83,277.31,71.92,,,,,
1982,Sidi Slimane,favorable,Blé tendre,Wheat,,S2,15/11/2019,02/03/2020,Yes,No,,No,,No N topDress ,82%,0.148,0.001,0.164,0.081,0.11,0.098,0.067,0.106,0.271,0.341,0.335,0.366,0.114,0.702,0.001,4.88,0.605,0.767,832.354,834.685,0.473,2.673,634.57,857.29,720.13,"2,568.18","1,738.64","3,332.03",333.19,333.44,956.84,20.61,335.97,0.66,1.18,"1,917.86",57.04,312.8,-0.24,0.72,0.26,0.27,0.24,0.14,0.29,0.05,0.09,0.19,1.9,2.96,0.53,0.1,0.3,7.83,0.66,0.55,0.66,0.18,0.72,0.07,1.27,0.92,1.15,0.92,0.35,1.38,0.12,0.12,0.35,13.34,30.41,23.79,11.55,12.73,-0.51,1.92,0.64,0.67,0.62,0.33,0.7,0.2,0.26,0.47,5.09,157.88,304.06,86.7,,,,,
1986,Sidi Kacem,favorable supérieur,Blé Tendre,Wheat,,S1,15/11/2019,31/01/2020,Yes,No,,No,,No N topDress ,86%,0.133,0.001,0.135,0.061,0.099,0.089,0.053,0.097,0.261,0.343,0.323,0.367,0.068,0.783,0.002,4.382,0.645,0.824,833.364,835.569,0.489,2.473,,,,,,,333.77,333.72,,21.13,,,1.8,"1,995.82",211.48,541.42,-0.47,1.33,0.52,0.55,0.5,0.45,0.57,0.11,0.14,0.4,4,4.06,0.79,0.17,0.54,12.24,0.81,0.79,0.92,0.54,0.91,0.1,2.3,2.24,2.36,2.01,1.15,2.42,0.12,0.23,1.27,27.83,24.1,21.98,10.11,10.5,-0.63,2.21,0.82,0.85,0.79,0.65,0.88,0.25,0.28,0.71,6.67,172.9,346.61,97.91,,,,,
1993,Sidi Kacem,favorable supérieur,Blé dur,Wheat,,S2,01/12/2019,02/03/2020,Yes,Yes,20/01/2020,No,,No Seconde N,66%,0.145,0.001,0.19,0.093,0.113,0.112,0.07,0.123,0.291,0.343,0.333,0.358,0.11,0.642,0.002,3.621,0.541,0.749,827.885,830.774,0.463,2.133,350.28,583.8,330.83,"3,694.20","1,425.35","3,344.20",331.51,331.39,420.37,20.61,336.51,0.96,1.51,"2,218.35",189.41,518.19,-0.43,1.16,0.49,0.57,0.49,0.33,0.5,0.08,0.1,0.45,3.98,3.59,0.8,0.13,0.56,12.33,0.91,0.8,0.96,0.42,0.98,0.07,2.88,1.96,3.34,1.96,0.86,2.99,0.12,0.23,1.04,33.01,25.98,23.36,10.64,12.41,-0.7,2.23,0.92,0.97,0.92,0.59,0.94,0.24,0.38,0.84,7.65,180.06,394.99,120.42,,,,,
1994,Sidi Kacem,favorable supérieur,Blé tendre,Wheat,,S1,15/11/2019,31/01/2020,Yes,Yes,18/01/2020,No,,After,89%,0.126,0.001,0.067,0.027,0.087,0.063,0.033,0.05,0.154,0.205,0.193,0.212,0.055,0.524,0,6.992,0.696,0.811,835.658,837.576,0.344,1.873,368.78,585.15,402.53,"3,598.07","1,513.65","3,353.40",335.3,335.24,585.12,14.82,337.93,0.92,1.51,"2,218.35",189.41,518.19,-0.43,1.16,0.49,0.57,0.49,0.33,0.5,0.08,0.1,0.45,3.98,3.59,0.8,0.13,0.56,12.33,0.91,0.8,0.96,0.42,0.98,0.07,2.88,1.96,3.34,1.96,0.86,2.99,0.12,0.23,1.04,33.01,25.98,23.36,10.64,12.41,-0.7,2.23,0.92,0.97,0.92,0.59,0.94,0.24,0.38,0.84,7.65,180.06,394.99,120.42,,,,,
2021,Azilal,Montagne,orge,Barley,,S1,20/11/2019,28/02/2020,Yes,Yes,15/01/2020,No,,After,72%,0.139,0.002,0.213,0.154,0.111,0.114,0.12,0.166,0.274,0.313,0.318,0.329,0.151,0.319,0.001,2.677,0.352,0.52,826.438,829.508,0.337,3.381,,,,,,,,,,11.15,,,3.09,"3,037.03",361.22,860.2,-0.17,0.71,0.27,0.22,0.25,0.2,0.28,0.1,0.12,0.15,1.97,2.62,0.42,0.21,0.33,7.29,0.31,0.46,0.33,0.41,0.48,0.17,0.69,0.81,0.35,0.63,0.75,0.92,0.23,0.23,0.35,10.58,27.58,23.49,7.42,5.95,-0.29,1.39,0.5,0.42,0.46,0.38,0.5,0.21,0.24,0.33,3.88,166.38,320.02,86.01,,,,,
2049,Sidi Bennour,interemédiaire,Blé tendre,Wheat,,S1,20/11/2019,29/01/2020,Yes,Yes,25/01/2020,No,,After,96%,0.142,0.001,0.176,0.085,0.107,0.1,0.065,0.116,0.287,0.343,0.334,0.358,0.135,0.687,0.002,3.897,0.569,0.773,828.667,831.458,0.476,2.541,451.48,697.2,546.51,"4,823.01","2,275.19","3,347.61",334.75,334.57,"1,105.64",27.13,338.27,0.92,4.08,"2,227.67",238.28,566.15,-0.61,4.14,0.73,0.53,0.66,0.66,0.75,0.14,0.32,0.54,5.75,9.83,0.74,0.4,0.67,13.66,0.59,0.79,0.7,0.74,0.83,0.24,1.61,1.61,1.09,1.44,1.73,1.96,0.35,0.69,1.04,24.5,28.19,24.69,11.74,13.08,-0.69,6.14,0.95,0.84,0.9,0.85,0.96,0.26,0.58,0.8,8.52,92.58,159.76,46.91,,,,,
2066,Sidi Bennour,interemédiaire,Blé dur ,Wheat,,S1,,29/01/2020,No,Yes,27/12/2019,No,,After,93%,0.153,0.001,0.201,0.103,0.116,0.108,0.082,0.131,0.306,0.367,0.352,0.383,0.126,0.668,0.002,4.093,0.546,0.717,829.674,832.339,0.463,2.814,441.71,758.33,607.61,"4,743.70","2,293.85","3,344.11",334.38,334.47,"1,147.25",27.13,337.93,0.89,4.88,"2,291.95",285.09,701.85,-0.48,2.8,0.58,0.53,0.52,0.41,0.61,0.13,0.15,0.35,4.02,8.2,0.75,0.21,0.56,11.79,0.71,0.81,0.78,0.53,0.87,0.16,2.53,2.24,1.55,1.55,1.15,2.76,0.23,0.35,1.15,24.73,25.98,24.18,10.58,11.95,-0.62,4.24,0.81,0.78,0.74,0.61,0.85,0.23,0.3,0.54,6.09,93.24,165.25,50.08,,,,,
