id,Province,Agroecological.zones,Crop,Grp.Crop,Regime,Code_Stage,birth.day,sampling.date,Base.Feed,Second.feed.1,second.feed.1.date,second.feed..2,second.feed..2.date,Sampling.Timing.Vs.second.feed.timing,Target,Mos.,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,IND1,IND2,IND3,IND4,IND5,IND6,IND7,IND8,IND9,B1,B2,B3,B4,B5,B6,B6_VCID_1,B6_VCID_2,B7,FVC,LST,NDVI,AI,ETP_jan_mars,ETP_oct_dec,ETP_oct_mars,EVI_Diff,EVI_RUE,EVI_fev,EVI_jan,EVI_jan_mars,EVI_mars,EVI_max,EVI_min,EVI_oct_dec,EVI_oct_mars,EVIsum,FAPAR_RUE,FAPAR_jan_mars,FAPAR_oct_dec,FAPAR_oct_mars,FAPARsum,Fpar_Diff,Fpar_fev,Fpar_jan,Fpar_mars,Fpar_max,Fpar_min,LAI_Diff,LAI_fev,LAI_jan,LAI_jan_mars,LAI_mars,LAI_max,LAI_min,LAI_oct_dec,LAI_oct_mars,LAIsum,LST_DAY_jan_mars,LST_DAY_oct_dec,LST_Night_jan_mars,LST_Night_oct_dec,NDVI_Diff,NDVI_RUE,NDVI_fev,NDVI_jan,NDVI_jan_mars,NDVI_mars,NDVI_max,NDVI_min,NDVI_oct_dec,NDVI_oct_mars,NDVIsum,P_dec_fev,P_oct_mars,P_sep_nov,pH,Ec,MO,K20,P2O5
1,EL YOUSSOUFIA,défavorable,Orge,Barley,Bour,S1,15/12/2020,10/02/2021,Yes,Yes,25/01/2021,No,,After,5.11,97%,0.159,0.001,0.251,0.147,0.122,0.121,0.102,0.148,0.306,0.362,0.347,0.381,0.132,0.536,0.002,3.871,0.482,0.628,829.472,832.163,0.413,2.789,708.4,"1,147.70","1,353.55","3,973.83","3,275.20","3,328.10",332.84,333.2,"2,070.58",23.07,336.77,0.56,3.26,"2,319.67",298.2,602.25,-0.1,1.36,0.2,0.31,0.2,0.15,0.22,0.13,0.23,0.22,2.51,3.79,0.26,0.31,0.31,7,0.2,0.26,0.4,0.17,0.32,0.13,0.12,0.35,0.52,0.35,0.23,0.35,0.23,0.35,0.35,9.66,31.83,26.74,8.38,10.36,-0.18,2.24,0.32,0.48,0.32,0.24,0.36,0.18,0.4,0.36,4.14,48.08,212.35,145.85,10.2,0.4,4.1,529,155.4
2,EL YOUSSOUFIA,défavorable,Blé dur,Wheat,Bour,S1,01/12/2020,10/02/2021,No,No,,No,,No N topDress ,3.81,95%,0.17,0.002,0.264,0.173,0.123,0.118,0.113,0.164,0.32,0.374,0.352,0.399,0.119,0.51,0.002,3.528,0.449,0.592,828.348,831.18,0.397,3.258,671.43,"1,074.43","1,142.09","4,025.29","2,827.74","3,318.90",331.91,332.34,"1,810.23",20.86,335.6,0.64,3.91,"2,311.96",300.84,702.76,-0.04,0.86,0.13,0.15,0.13,0.12,0.14,0.1,0.16,0.14,1.54,2.31,0.17,0.18,0.17,4.15,0.14,0.16,0.22,0.17,0.22,0.08,0.12,0.23,0.23,0.23,0.23,0.23,0.12,0.23,0.23,5.52,34.35,30.37,10.26,12.55,-0.04,1.4,0.21,0.26,0.21,0.18,0.22,0.18,0.26,0.22,2.51,37.99,206.52,161.54,10,0.3,3,172.5,57.6
3,EL YOUSSOUFIA,défavorable,Blé tendre,Wheat,Bour,S1,20/12/2020,10/02/2021,No,No,,No,,No N topDress ,4.06,95%,0.18,0.002,0.283,0.15,0.127,0.132,0.096,0.165,0.452,0.54,0.529,0.573,0.169,1.213,0.004,4.754,0.611,0.797,829.471,832.162,0.622,3.371,515.27,850.92,737.2,"4,979.96","2,362.76","3,315.88",331.58,331.46,"1,075.43",23.07,334.75,0.85,3.37,"2,320.93",272.21,622.27,-0.04,1.61,0.17,0.21,0.17,0.13,0.17,0.13,0.37,0.21,2.98,4.44,0.23,0.44,0.37,8.2,0.14,0.23,0.39,0.17,0.29,0.15,0.12,0.35,0.46,0.35,0.23,0.35,0.23,0.81,0.46,12.08,32.34,27.01,8.82,10.59,-0.09,2.44,0.28,0.35,0.28,0.22,0.29,0.2,0.56,0.36,4.51,48.08,212.35,145.85,10,0.3,2.4,190.9,51.3
4,EL YOUSSOUFIA,défavorable,Orge,Barley,Bour,S1,15/12/2020,10/02/2021,Yes,Yes,20/01/2021,No,,After,5.3,99%,0.155,0.002,0.272,0.173,0.127,0.128,0.125,0.166,0.284,0.323,0.314,0.345,0.122,0.339,0.001,3.26,0.368,0.497,827.407,830.356,0.323,2.734,773.67,"1,282.13","1,523.14","3,802.00","3,594.94","3,332.81",333.27,333.25,"2,434.00",23.07,337.06,0.49,3.62,"2,212.48",289.23,667.57,-0.07,1.43,0.19,0.3,0.19,0.15,0.2,0.13,0.3,0.2,2.63,3.67,0.2,0.3,0.24,6.79,0.14,0.2,0.39,0.16,0.28,0.14,0.23,0.29,0.52,0.29,0.23,0.46,0.23,0.35,0.35,9.55,31.72,26.3,8.33,10.13,-0.14,2.21,0.3,0.45,0.3,0.23,0.33,0.19,0.46,0.33,4.09,48.08,212.35,145.85,10.1,0.2,2.3,361.1,57.2
6,El Jadida,interemédiaire,Orge,Barley,Bour,S1,20/11/2020,27/01/2021,No,No,,No,,No N topDress ,3.62,100%,0.149,0.001,0.159,0.061,0.106,0.099,0.046,0.101,0.411,0.559,0.526,0.591,0.118,2.088,0.003,6.43,0.798,0.966,834.889,836.903,0.722,2.844,359.95,729.59,405.49,"5,347.57","1,509.95","3,269.09",326.9,326.78,434.09,18.7,328.71,0.99,2.4,"2,120.26",234.37,583.63,-0.4,1.53,0.37,0.39,0.39,0.46,0.54,0.14,0.26,0.36,3.72,5.84,0.73,0.56,0.72,14.17,0.75,0.78,0.72,0.64,0.91,0.16,2.07,2.19,1.44,1.67,1.61,2.3,0.23,1.04,1.5,30.82,26.85,24.16,9.84,12.48,-0.53,2.79,0.7,0.74,0.72,0.69,0.8,0.27,0.5,0.68,6.78,80.18,279.22,175.48,9.8,0.3,0.9,268.1,137.8
7,EL YOUSSOUFIA,défavorable,Orge,Barley,Bour,S1,25/12/2020,10/02/2021,No,No,,No,,No N topDress ,3.57,94%,0.213,0.002,0.375,0.266,0.188,0.193,0.187,0.24,0.4,0.456,0.443,0.486,0.146,0.448,0.002,3.462,0.357,0.466,828.423,831.245,0.366,2.57,596.67,968.53,876.75,"3,681.50","2,666.18","3,313.53",331.33,331.65,"1,516.22",20.86,334.85,0.71,3.49,"2,140.38",265.31,604.79,-0.09,1.53,0.22,0.3,0.23,0.2,0.23,0.14,0.24,0.23,2.65,4.73,0.36,0.37,0.37,8.2,0.35,0.36,0.45,0.21,0.49,0.15,0.46,0.58,0.69,0.58,0.35,0.69,0.23,0.46,0.58,12.42,34.3,27.2,9.52,12.27,-0.15,2.48,0.35,0.5,0.36,0.3,0.36,0.21,0.39,0.36,4.3,42.71,199.17,145.09,10,0.1,2.8,242.7,42.9
8,EL YOUSSOUFIA,défavorable,Orge,Barley,Bour,S1,15/12/2020,10/02/2021,No,No,,No,,No N topDress ,4.65,97%,0.156,0.001,0.255,0.144,0.117,0.114,0.087,0.141,0.313,0.368,0.355,0.397,0.126,0.627,0.002,3.733,0.515,0.696,828.227,831.073,0.453,2.731,,,,,,,,,,20.86,,,3.67,"2,277.35",281.75,638.48,-0.08,1.21,0.19,0.25,0.19,0.17,0.2,0.12,0.16,0.18,2.1,4.02,0.33,0.2,0.32,6.98,0.2,0.33,0.4,0.18,0.35,0.15,0.23,0.4,0.46,0.35,0.23,0.46,0.23,0.35,0.35,9.2,33.87,27.54,9.29,11.56,-0.11,2.06,0.31,0.42,0.31,0.27,0.31,0.2,0.3,0.3,3.58,45.95,199.88,141.55,9.8,0.7,2.1,151.8,40.9
9,EL YOUSSOUFIA,défavorable,Blé dur,Wheat,Bour,S1,01/12/2020,10/02/2021,No,No,,No,,No N topDress ,3.02,87%,0.2,0.002,0.389,0.326,0.196,0.212,0.261,0.289,0.352,0.383,0.36,0.398,0.105,0.149,0,2.668,0.162,0.184,829.264,831.981,0.143,2.398,,,,,,,331.85,331.61,,20.86,,,5.03,"2,277.92",275.31,744.4,-0.01,0.75,0.1,0.12,0.1,0.09,0.1,0.09,0.1,0.1,1.12,2.6,0.17,0.15,0.16,3.85,0.14,0.17,0.17,0.16,0.23,0.09,0.12,0.23,0.23,0.23,0.23,0.23,0.12,0.23,0.23,5.06,33.73,30.62,10.68,13.42,-0.01,1.27,0.16,0.2,0.16,0.14,0.16,0.15,0.17,0.16,1.87,30.16,170.22,142.64,10.2,0.2,4.8,282.9,141.1
10,EL YOUSSOUFIA,défavorable,Blé dur,Wheat,Bour,S1,20/12/2020,10/02/2021,No,No,,No,,No N topDress ,3.76,93%,0.17,0.002,0.317,0.272,0.144,0.151,0.215,0.23,0.248,0.268,0.249,0.276,0.069,0.06,0,1.422,0.088,0.083,834.518,836.579,0.055,2.711,,,,,,,,,,20.86,,,4.16,"2,343.47",280.49,691.38,-0.02,0.56,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.09,0.93,1.66,0.13,0.1,0.12,2.76,0.09,0.15,0.12,0.14,0.17,0.08,0.12,0.23,0.12,0.23,0.23,0.23,0.12,0.12,0.12,3.57,35.86,32.3,10.29,12.98,-0.04,0.98,0.15,0.17,0.15,0.14,0.15,0.12,0.14,0.14,1.62,33.49,190.99,155.91,10,0.3,3.3,169.1,40
12,Safi,défavorable,Orge,Barley,Bour,S1,11/11/2020,11/02/2021,Yes,Yes,27/01/2021,No,,After,2.66,88%,0.128,0.001,0.167,0.076,0.094,0.093,0.048,0.106,0.311,0.38,0.372,0.403,0.151,0.973,0.003,4.073,0.648,0.886,829.188,831.914,0.561,2.36,371.71,836.68,401.75,"3,972.34","1,765.56","3,280.63",328.07,328.11,694.6,15.65,330.12,0.94,2.59,"2,240.55",274.74,623.99,-0.47,1.69,0.49,0.51,0.4,0.33,0.57,0.11,0.2,0.38,4.07,5.14,0.68,0.3,0.62,12.36,0.62,0.68,0.81,0.5,0.72,0.1,1.5,1.5,1.78,1.5,0.98,1.73,0.23,0.35,1.15,24.73,28.23,26.05,10.44,13.28,-0.63,2.88,0.79,0.81,0.71,0.55,0.85,0.22,0.43,0.67,6.93,59.39,276.62,205.12,10.1,0.1,5.2,263.4,5.8
13,Safi,défavorable,Blé tendre,Wheat,Bour,S1,16/11/2020,11/02/2021,Yes,Yes,26/01/2021,No,,After,4.05,80%,0.144,0.001,0.199,0.089,0.109,0.114,0.07,0.14,0.409,0.494,0.467,0.53,0.149,1.238,0.004,4.393,0.642,0.851,829.317,832.027,0.616,2.908,,,,,,,,,,15.65,,,3.11,"2,316.79",284.17,733.93,-0.16,1.25,0.27,0.36,0.27,0.2,0.29,0.13,0.27,0.27,2.94,4.47,0.51,0.36,0.48,10.55,0.41,0.51,0.65,0.33,0.55,0.14,0.69,0.92,1.09,0.92,0.58,0.92,0.23,0.46,0.81,17.71,31.77,25.68,10.83,12.5,-0.26,2.25,0.48,0.63,0.48,0.35,0.49,0.23,0.52,0.49,5.3,51.93,271.22,206.5,9.1,1.3,4.5,482.3,385.3
14,Safi,défavorable,Orge,Barley,Bour,S1,25/10/2020,11/02/2021,No,No,,No,,No N topDress ,2.74,94%,0.149,0.001,0.19,0.102,0.112,0.112,0.083,0.144,0.284,0.331,0.318,0.36,0.095,0.49,0.003,2.624,0.452,0.675,825.659,828.826,0.416,2.402,421.25,818.37,716.45,"3,517.25","1,985.00","3,259.92",326.01,325.96,"1,010.65",15.65,328.65,0.76,2.91,"2,169.82",265.07,635.03,-0.15,1.4,0.26,0.37,0.27,0.22,0.28,0.12,0.29,0.28,3.04,3.98,0.35,0.41,0.37,8.67,0.29,0.35,0.53,0.27,0.41,0.13,0.46,0.58,0.81,0.58,0.4,0.69,0.23,0.58,0.58,13.34,29.87,27.73,10.97,12.29,-0.25,2.17,0.43,0.55,0.44,0.35,0.44,0.19,0.44,0.44,4.74,51.35,250.64,187,9.7,0.2,1.8,73.4,966
15,Safi,défavorable,Orge,Barley,Bour,S1,02/11/2020,11/02/2021,No,No,,No,,No N topDress ,2.33,85%,0.15,0.001,0.248,0.169,0.126,0.118,0.152,0.157,0.185,0.205,0.197,0.21,0.054,0.063,0,6.669,0.154,0.151,840.329,841.663,0.085,2.459,916.1,"1,346.42","1,709.80","2,963.24","3,200.51","3,305.02",330.5,330.37,"2,448.39",15.65,334.03,0.3,3.31,"2,361.53",342.82,715.19,-0.1,1.01,0.23,0.23,0.22,0.19,0.23,0.13,0.18,0.21,2.19,3.67,0.4,0.24,0.38,7.94,0.28,0.4,0.47,0.29,0.43,0.15,0.58,0.69,0.63,0.63,0.52,0.81,0.23,0.35,0.58,12.08,30.57,25.82,9.97,11.42,-0.16,1.63,0.35,0.38,0.35,0.3,0.36,0.2,0.29,0.34,3.52,48.71,248.32,184.63,9.2,0.3,7.2,812.1,271.4
17,Safi,défavorable,Orge,Barley,irrigué,S1,23/10/2020,11/02/2021,Yes,Yes,01/02/2021,No,,After,4.16,90%,0.154,0.001,0.216,0.116,0.12,0.127,0.085,0.165,0.368,0.426,0.43,0.452,0.105,0.764,0.005,2.917,0.509,0.772,825.468,828.659,0.547,2.612,641.44,993.16,"1,056.14","3,592.20","2,435.16","3,275.98",327.64,327.51,"1,543.98",15.65,330.98,0.63,2.93,"2,278.84",268.07,667.46,-0.18,2.05,0.39,0.47,0.42,0.42,0.45,0.27,0.45,0.44,4.66,5.5,0.54,0.63,0.54,12.52,0.31,0.53,0.59,0.48,0.61,0.3,0.81,0.98,0.92,0.92,0.92,1.27,0.46,1.04,0.92,21.51,28.14,26.12,10.41,13.14,-0.21,3.01,0.6,0.68,0.62,0.59,0.63,0.41,0.66,0.63,6.85,50.94,261.89,197.38,10.9,0.4,2.8,82.7,"1,219.00"
18,Safi,défavorable,Orge,Barley,Bour,S1,21/10/2020,11/02/2021,Yes,Yes,01/02/2021,No,,After,2.92,95%,0.149,0.001,0.19,0.102,0.112,0.112,0.083,0.144,0.284,0.331,0.318,0.36,0.095,0.49,0.003,2.624,0.452,0.675,825.659,828.826,0.416,2.402,421.25,818.37,716.45,"3,517.25","1,985.00","3,259.92",326.01,325.96,"1,010.65",15.65,328.65,0.76,2.91,"2,169.82",265.07,635.03,-0.15,1.4,0.26,0.37,0.27,0.22,0.28,0.12,0.29,0.28,3.04,3.98,0.35,0.41,0.37,8.67,0.29,0.35,0.53,0.27,0.41,0.13,0.46,0.58,0.81,0.58,0.4,0.69,0.23,0.58,0.58,13.34,29.87,27.73,10.97,12.29,-0.25,2.17,0.43,0.55,0.44,0.35,0.44,0.19,0.44,0.44,4.74,51.35,250.64,187,10.1,0.3,6.9,11.5,525.6
19,Safi,défavorable,Orge,Barley,Bour,S1,27/10/2020,11/02/2021,No,No,,No,,No N topDress ,2.23,94%,0.14,0.001,0.135,0.062,0.101,0.094,0.052,0.106,0.336,0.384,0.354,0.401,0.096,1.047,0.002,4.833,0.651,0.856,827.338,830.296,0.531,2.398,439.3,722.2,776.25,"3,092.35","2,105.65","3,287.85",328.74,329.19,"1,407.60",15.65,331.65,0.69,2.8,"2,250.20",269.79,603.64,-0.07,1.2,0.19,0.3,0.19,0.15,0.21,0.13,0.28,0.21,2.59,4.06,0.41,0.3,0.4,8.75,0.26,0.41,0.54,0.27,0.43,0.16,0.58,0.69,0.81,0.69,0.46,0.81,0.23,0.35,0.58,13.92,31.92,27.06,11.26,13.35,-0.15,2.13,0.35,0.53,0.35,0.29,0.37,0.22,0.51,0.37,4.58,48.38,248.1,186.32,9.2,0,3.1,420.4,611.8
21,Safi,défavorable,Blé tendre,Wheat,Bour,S1,12/11/2020,11/02/2021,Yes,Yes,05/02/2021,No,,After,2.81,96%,0.144,0.001,0.182,0.076,0.107,0.103,0.053,0.116,0.402,0.524,0.497,0.554,0.156,1.631,0.003,5.219,0.733,0.929,832.771,835.05,0.681,2.851,,,,,,,,,,20.86,,,2.08,"1,906.47",216.32,523.14,-0.19,1.45,0.28,0.51,0.28,0.21,0.28,0.09,0.4,0.28,3.65,4.02,0.52,0.3,0.52,10.12,0.51,0.52,0.68,0.26,0.59,0.08,1.27,0.92,1.21,0.86,0.52,1.38,0.12,0.35,0.81,18.51,32.43,28.67,9.48,11.95,-0.32,2.44,0.51,0.78,0.51,0.35,0.52,0.2,0.73,0.52,6.15,60.8,289.69,211.53,9.4,1.3,4.1,577.5,484.2
22,Safi,défavorable,Orge,Barley,Bour,S1,01/11/2020,11/02/2021,No,No,,No,,No N topDress ,3.67,95%,0.152,0.001,0.16,0.086,0.113,0.104,0.072,0.124,0.246,0.286,0.273,0.309,0.111,0.423,0.002,2.685,0.453,0.668,825.786,828.938,0.376,2.099,510.84,933.77,845.05,"3,855.95","2,256.19","3,274.05",327.46,327.2,"1,012.07",15.65,330.01,0.74,2.57,"2,105.08",283.82,632.39,-0.24,1.46,0.37,0.45,0.37,0.24,0.4,0.16,0.34,0.34,3.61,4.71,0.54,0.55,0.54,11.62,0.52,0.54,0.7,0.39,0.68,0.16,1.38,1.15,1.27,1.15,0.75,1.61,0.23,0.81,0.92,21.51,26.86,26.16,11.21,13.9,-0.39,2.45,0.63,0.71,0.63,0.41,0.66,0.26,0.58,0.6,6.04,60.16,283.52,209.31,9.2,1.9,2.1,76.4,572.7
23,Safi,défavorable,Blé tendre,Wheat,Bour,S1,22/11/2020,11/02/2021,Yes,Yes,02/02/2021,No,,After,2.22,89%,0.129,0.001,0.184,0.085,0.099,0.102,0.051,0.127,0.42,0.521,0.519,0.549,0.192,1.556,0.005,4.405,0.699,0.946,829.94,832.573,0.706,2.928,457.77,764.91,514.95,"4,376.95","1,590.48","3,280.95",328.1,328.12,709.07,15.65,330.27,0.91,1.82,"1,955.12",201.71,431.02,-0.2,1.57,0.33,0.39,0.35,0.27,0.38,0.17,0.39,0.38,3.72,4.36,0.52,0.48,0.49,10.35,0.38,0.52,0.54,0.37,0.54,0.16,0.58,0.75,0.69,0.69,0.58,0.81,0.23,0.58,0.69,14.37,29.38,25.4,11.22,14.41,-0.32,2.46,0.53,0.59,0.56,0.45,0.59,0.27,0.59,0.59,5.83,60.27,272.76,200.04,9.9,0.2,6.3,225.4,5.8
25,El Jadida,interemédiaire,Blé dur,Wheat,Bour,S1,18/11/2020,26/01/2021,Yes,Yes,07/01/2021,No,,After,4.43,95%,0.159,0.002,0.22,0.101,0.117,0.114,0.067,0.13,0.372,0.467,0.443,0.5,0.101,1.141,0.003,4.382,0.648,0.848,831.063,833.555,0.598,2.606,398.85,771.08,472.47,"4,259.67","1,868.81","3,296.48",329.68,329.82,792.95,18.7,332.24,0.92,2.18,"2,138.54",264.85,604.9,-0.24,1.2,0.4,0.39,0.38,0.28,0.4,0.16,0.23,0.33,3.34,4,0.55,0.35,0.54,11.1,0.52,0.61,0.66,0.44,0.67,0.15,0.92,1.15,1.15,1.15,0.81,1.15,0.23,0.46,0.92,19.32,28,24.9,10.67,12.04,-0.42,2.21,0.7,0.68,0.68,0.48,0.7,0.28,0.47,0.57,6.12,105.95,318.73,200.27,9.9,0.3,2.1,97.4,22.7
26,El Jadida,interemédiaire,Blé tendre,Wheat,Bour,S1,27/11/2020,26/01/2021,Yes,Yes,10/01/2021,No,,After,3.32,94%,0.141,0.001,0.156,0.063,0.103,0.089,0.049,0.091,0.312,0.416,0.384,0.434,0.096,1.263,0.001,6.186,0.738,0.888,834.411,836.485,0.573,2.75,,,,,,,,,,18.7,,,2.53,"2,206.85",248.52,610.08,-0.46,2.43,0.61,0.6,0.6,0.55,0.66,0.2,0.42,0.55,5.84,6.21,0.72,0.66,0.69,14.95,0.52,0.74,0.72,0.72,0.83,0.31,1.61,1.67,1.15,1.5,1.67,2.07,0.46,0.92,1.15,27.71,29.37,25.45,7.94,11.42,-0.54,3.5,0.83,0.86,0.86,0.76,0.9,0.36,0.65,0.79,8.43,87.12,276.97,172.02,10.1,0.2,1,98.1,65.1
27,El Jadida,interemédiaire,Blé tendre,Wheat,Bour,S1,23/11/2020,26/01/2021,No,Yes,15/01/2021,No,,After,4.37,98%,0.155,0.001,0.216,0.124,0.12,0.114,0.084,0.132,0.293,0.35,0.333,0.377,0.063,0.59,0.002,3.892,0.52,0.685,829.314,832.025,0.432,2.488,,,,,,,,,,18.7,,,1.88,"2,056.20",220.23,534.06,-0.29,1.67,0.48,0.45,0.48,0.51,0.52,0.23,0.39,0.45,4.73,4.4,0.63,0.37,0.59,12.48,0.55,0.75,0.59,0.6,0.81,0.25,1.38,1.38,0.81,1.15,1.09,1.73,0.35,0.69,0.81,20.12,25.12,25.82,10.11,12.78,-0.41,2.68,0.78,0.7,0.76,0.73,0.8,0.39,0.71,0.71,7.6,88.73,326.34,234.92,9.5,0.3,2.3,226.7,256.9
28,El Jadida,interemédiaire,Blé tendre,Wheat,Bour,S1,10/11/2020,26/01/2021,Yes,Yes,04/01/2021,No,,After,3.15,95%,0.151,0.001,0.179,0.077,0.112,0.108,0.063,0.118,0.365,0.479,0.446,0.501,0.096,1.282,0.003,5.102,0.694,0.866,833.447,835.641,0.61,2.783,414.03,789.05,627.84,"4,114.96","1,763.72","3,292.48",329.24,329.45,789.16,18.7,331.98,0.84,2.1,"1,959.14",275.2,593.17,-0.23,1.48,0.43,0.48,0.43,0.32,0.44,0.21,0.33,0.4,4.17,4.14,0.56,0.41,0.55,11.67,0.39,0.56,0.66,0.44,0.59,0.2,0.92,1.09,1.15,1.04,0.86,1.27,0.35,0.69,1.04,20.47,29.47,26.25,9.14,11.58,-0.33,2.28,0.67,0.71,0.67,0.49,0.69,0.36,0.55,0.6,6.43,87.65,324.47,221.8,10.1,0.2,1,349.6,104.3
29,El Jadida,interemédiaire,Blé tendre,Wheat,Bour,S1,22/11/2020,26/01/2021,Yes,Yes,22/11/2020,No,,After,3.19,94%,0.151,0.001,0.152,0.064,0.112,0.1,0.058,0.108,0.287,0.363,0.336,0.394,0.053,0.809,0.002,4.159,0.623,0.81,831.419,833.866,0.494,2.268,420.9,667,512.9,"3,929.55","1,951.55","3,287.85",328.74,328.83,786.6,18.7,331.12,0.88,2.08,"2,088.98",243.23,609.39,-0.4,1.48,0.52,0.44,0.44,0.38,0.57,0.18,0.33,0.44,4.35,4.34,0.68,0.45,0.59,12.74,0.51,0.75,0.67,0.58,0.77,0.26,1.27,1.38,0.98,1.15,1.15,1.61,0.35,0.69,0.92,20.82,21.56,22.53,11.34,12.52,-0.48,2.57,0.84,0.77,0.76,0.62,0.86,0.39,0.69,0.71,7.55,101.9,337.27,234.02,9.8,0.2,3,310.5,164.3
30,El Jadida,interemédiaire,Blé tendre,Wheat,Bour,S1,30/11/2020,26/01/2021,Yes,No,,No,,No N topDress ,3.97,95%,0.153,0.002,0.188,0.097,0.111,0.106,0.064,0.117,0.303,0.366,0.343,0.391,0.079,0.78,0.002,4.041,0.592,0.787,829.19,831.916,0.489,2.264,381.66,714.41,510.6,"3,281.81","1,892.50","3,293.60",329.36,329.34,913.7,18.7,332.18,0.84,1.92,"2,115.77",255.53,589.03,-0.25,1.34,0.39,0.47,0.39,0.27,0.42,0.17,0.4,0.4,4.11,4.27,0.6,0.64,0.61,13.1,0.51,0.64,0.71,0.48,0.7,0.2,1.15,1.27,1.27,1.21,0.86,1.5,0.35,1.15,1.15,24.38,25.42,23.93,10.37,11.95,-0.41,2.27,0.66,0.75,0.66,0.45,0.72,0.31,0.69,0.69,6.94,102.22,352.52,237.75,9.9,0.2,0.8,93.5,103.3
33,El Jadida,interemédiaire,Blé tendre,Wheat,Bour,S1,26/12/2020,26/01/2021,No,Yes,31/01/2021,No,,Befor,4.13,99%,0.156,0.001,0.169,0.11,0.116,0.098,0.075,0.103,0.17,0.197,0.186,0.211,0.038,0.2,0.001,2.747,0.36,0.487,827.879,830.769,0.228,1.686,483.76,793.5,788.9,"3,161.63","1,958.44","3,287.85",328.74,328.85,"1,378.91",18.7,331.42,0.69,1.69,"1,940.39",197.57,460.69,-0.35,1.72,0.55,0.46,0.5,0.48,0.6,0.25,0.38,0.42,4.68,5.11,0.68,0.53,0.67,13.92,0.49,0.72,0.72,0.63,0.82,0.32,1.5,1.61,1.32,1.44,1.44,2.07,0.58,0.92,1.27,27.83,23.84,23.08,11.2,12.78,-0.45,2.71,0.8,0.75,0.74,0.67,0.85,0.41,0.62,0.68,7.38,98.87,312.98,208.53,9.7,0.2,3.2,359.6,142.6
34,El Jadida,interemédiaire,Blé dur,Wheat,Bour,S1,05/12/2020,01/02/2021,No,No,,No,,No N topDress ,2.51,98%,0.151,0.001,0.153,0.062,0.109,0.101,0.052,0.105,0.347,0.447,0.414,0.474,0.088,1.308,0.002,5.263,0.713,0.895,832.453,834.771,0.601,2.419,322.58,675.05,350.18,"5,057.70","1,543.30","3,309.70",330.97,331.12,644.58,22.1,333.61,1,2.1,"2,141.53",253.81,644.12,-0.26,1.44,0.41,0.5,0.41,0.38,0.42,0.17,0.47,0.42,4.41,4.38,0.69,0.63,0.67,13.42,0.62,0.78,0.7,0.55,0.83,0.21,1.38,1.44,1.15,1.15,0.98,1.73,0.35,0.92,1.15,22.31,26.74,23.06,9.37,11.95,-0.36,2.48,0.68,0.82,0.7,0.63,0.73,0.37,0.77,0.73,7.61,103.83,352.17,239.99,9.5,0.2,3.5,351.7,121
35,El Jadida,interemédiaire,Orge,Barley,Bour,S1,13/11/2020,01/02/2021,Yes,Yes,13/11/2020,No,,After,4.61,100%,0.184,0.002,0.262,0.161,0.185,0.179,0.131,0.195,0.434,0.533,0.496,0.569,0.111,0.895,0.003,4.258,0.533,0.67,831.291,833.755,0.524,2.328,,,,,,,,,,22.1,,,2.19,"2,024.46",252.89,624.57,-0.34,1.4,0.46,0.51,0.45,0.34,0.47,0.13,0.27,0.37,3.97,4.46,0.72,0.31,0.62,12.68,0.67,0.74,0.74,0.53,0.79,0.13,1.73,1.73,1.38,1.44,1.04,1.96,0.23,0.35,1.27,24.84,28.8,24.46,8.97,12.18,-0.52,2.48,0.8,0.81,0.77,0.57,0.81,0.29,0.55,0.67,7.05,99.48,327.34,214.2,9.5,0.2,2.2,145.8,42.1
36,El Jadida,interemédiaire,Blé dur,Wheat,Bour,S1,25/11/2020,27/01/2021,No,No,,No,,No N topDress ,2.9,97%,0.17,0.002,0.197,0.096,0.125,0.122,0.077,0.137,0.407,0.529,0.496,0.564,0.099,1.337,0.003,5.163,0.675,0.84,833.212,835.436,0.629,2.976,380.72,696.57,378.39,"5,165.24","1,489.20","3,290.15",329.03,328.81,532.13,18.7,331.37,0.99,2.05,"1,964.20",242.65,582.25,-0.36,1.63,0.51,0.53,0.51,0.32,0.52,0.15,0.48,0.51,4.64,4.98,0.69,0.64,0.69,14.17,0.67,0.72,0.83,0.49,0.85,0.18,1.61,1.78,1.78,1.67,0.98,1.96,0.35,1.15,1.27,30.25,26.57,23.98,8.95,12.36,-0.51,2.47,0.78,0.77,0.77,0.51,0.79,0.28,0.72,0.75,7.03,99.48,327.34,214.2,9.7,0.2,1.3,140.1,108.8
