id,Province,Agroecological.zones,Crop,Grp.Crop,Regime,Code_Stage,birth.day,sampling.date,Base.Feed,Second.feed.1,second.feed.1.date,second.feed..2,second.feed..2.date,Sampling.Timing.Vs.second.feed.timing,Target,Mos.,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,IND1,IND2,IND3,IND4,IND5,IND6,IND7,IND8,IND9,B1,B2,B3,B4,B5,B6,B6_VCID_1,B6_VCID_2,B7,FVC,LST,NDVI,AI,ETP_jan_mars,ETP_oct_dec,ETP_oct_mars,EVI_Diff,EVI_RUE,EVI_fev,EVI_jan,EVI_jan_mars,EVI_mars,EVI_max,EVI_min,EVI_oct_dec,EVI_oct_mars,EVIsum,FAPAR_RUE,FAPAR_jan_mars,FAPAR_oct_dec,FAPAR_oct_mars,FAPARsum,Fpar_Diff,Fpar_fev,Fpar_jan,Fpar_mars,Fpar_max,Fpar_min,LAI_Diff,LAI_fev,LAI_jan,LAI_jan_mars,LAI_mars,LAI_max,LAI_min,LAI_oct_dec,LAI_oct_mars,LAIsum,LST_DAY_jan_mars,LST_DAY_oct_dec,LST_Night_jan_mars,LST_Night_oct_dec,NDVI_Diff,NDVI_RUE,NDVI_fev,NDVI_jan,NDVI_jan_mars,NDVI_mars,NDVI_max,NDVI_min,NDVI_oct_dec,NDVI_oct_mars,NDVIsum,P_dec_fev,P_oct_mars,P_sep_nov,pH,Ec,MO,K20,P2O5
2060,Sidi Bennour,interemédiaire,Blé tendre,Wheat,,S1,29/11/2019,29/01/2020,Yes,Yes,25/01/2020,No,,After,4.08,96%,0.137,0.001,0.159,0.068,0.101,0.092,0.052,0.101,0.323,0.408,0.395,0.425,0.146,1.138,0.002,5.2,0.693,0.883,831.726,834.136,0.579,2.796,302.45,565.8,417.12,"4,749.88","1,672.06","3,364.56",336.42,336.87,842.92,22.96,339.41,0.96,3.48,"2,306.32",234.95,618.59,-0.63,2.94,0.75,0.58,0.64,0.62,0.8,0.16,0.28,0.51,5.23,7.87,0.95,0.23,0.7,13.98,0.97,0.99,0.82,0.95,1.07,0.1,7.36,4.54,1.78,3.74,4.08,7.48,0.12,0.35,1.61,49.22,25.73,26.94,9.84,12.45,-0.59,4.88,0.98,0.92,0.94,0.9,1,0.41,0.66,0.85,8.68,117.16,204.46,61.73,,,,,
2061,Sidi Bennour,interemédiaire,Blé tendre,Wheat,,S2,20/11/2019,26/02/2020,Yes,Yes,25/01/2020,No,,No Seconde N,1.76,75%,0.142,,,,0.107,0.1,0.054,0.111,0.389,0.524,0.502,0.549,0.146,1.655,0.003,5.666,0.749,0.927,834.482,836.547,0.684,3.093,,,,,,,,,,19.27,,,2.43,"2,097.60",193.55,450.8,-0.27,1.28,0.31,0.29,0.24,0.22,0.38,0.11,0.12,0.23,2.37,4.38,0.55,0.16,0.3,8.12,0.59,0.62,0.56,0.28,0.69,0.1,1.04,1.09,0.86,0.81,0.52,1.15,0.12,0.23,0.46,13.23,31.54,25.43,11.3,13.33,-0.44,2.63,0.56,0.61,0.5,0.37,0.68,0.24,0.3,0.39,4.87,124.52,212.97,60.15,,,,,
2062,Sidi Bennour,interemédiaire,Blé dur ,Wheat,,S1,14/11/2019,29/01/2020,Yes,Yes,26/01/2020,No,,After,3.12,86%,0.146,0.001,0.198,0.113,0.109,0.092,0.068,0.099,0.185,0.213,0.206,0.229,0.092,0.271,0.001,3.289,0.421,0.578,827.216,830.189,0.28,1.909,477.69,692.3,956.36,"1,902.61","2,730.23","3,438.50",343.87,343.93,"1,895.24",25.05,349.04,0.38,2.43,"2,097.60",193.55,450.8,-0.27,1.28,0.31,0.29,0.24,0.22,0.38,0.11,0.12,0.23,2.37,4.38,0.55,0.16,0.3,8.12,0.59,0.62,0.56,0.28,0.69,0.1,1.04,1.09,0.86,0.81,0.52,1.15,0.12,0.23,0.46,13.23,31.54,25.43,11.3,13.33,-0.44,2.63,0.56,0.61,0.5,0.37,0.68,0.24,0.3,0.39,4.87,124.52,212.97,60.15,,,,,
2063,Sidi Bennour,interemédiaire,Blé dur,Wheat,,S2,18/11/2019,01/03/2020,Yes,Yes,26/01/2020,No,,No Seconde N,2.01,57%,0.155,0.003,0.267,0.176,0.125,0.113,0.108,0.132,0.192,0.222,0.219,0.248,0.086,0.165,0,2.996,0.293,0.388,830.544,833.101,0.211,2.153,,,,,,,,,,15.04,,,3.58,"2,254.23",264.73,624.45,-0.19,1.29,0.28,0.29,0.24,0.15,0.33,0.13,0.15,0.17,2.25,3.75,0.32,0.2,0.28,6.56,0.41,0.35,0.46,0.21,0.52,0.1,0.69,0.63,0.69,0.46,0.4,0.81,0.12,0.35,0.35,10.12,34.64,27.2,11.1,11.12,-0.27,2.4,0.48,0.51,0.44,0.29,0.53,0.26,0.32,0.37,4.19,120.41,200.82,50.81,,,,,
2064,Safi,défavorable,Blé dur ,Wheat,,S1,01/11/2019,29/01/2020,Yes,Yes,01/01/2020,No,,After,3.95,83%,0.144,0.002,0.274,0.194,0.116,0.104,0.092,0.122,0.196,0.221,0.22,0.243,0.105,0.206,0.001,2.844,0.332,0.468,826.79,829.816,0.247,2.171,647.45,932.65,"1,335.15","2,127.50","3,326.95","3,461.50",346.14,346.44,"2,641.55",19.84,351.38,0.26,3.58,"2,254.23",264.73,624.45,-0.19,1.29,0.28,0.29,0.24,0.15,0.33,0.13,0.15,0.17,2.25,3.75,0.32,0.2,0.28,6.56,0.41,0.35,0.46,0.21,0.52,0.1,0.69,0.63,0.69,0.46,0.4,0.81,0.12,0.35,0.35,10.12,34.64,27.2,11.1,11.12,-0.27,2.4,0.48,0.51,0.44,0.29,0.53,0.26,0.32,0.37,4.19,120.41,200.82,50.81,,,,,
2065,Safi,défavorable,Blé dur,Wheat,,S2,17/11/2019,12/03/2020,Yes,Yes,20/01/2020,No,,No Seconde N,2.07,81%,0.251,0.007,0.243,0.189,0.239,0.212,0.219,0.229,0.251,0.269,0.278,0.285,0.128,0.054,0,2.539,0.091,0.135,836.103,837.965,0.094,1.556,597.98,901.99,819.2,"3,933.86","2,026.85","3,286.67",328.7,328.43,955.34,19.27,331.51,0.76,4.88,"2,291.95",285.09,701.85,-0.48,2.8,0.58,0.53,0.52,0.41,0.61,0.13,0.15,0.35,4.02,8.2,0.75,0.21,0.56,11.79,0.71,0.81,0.78,0.53,0.87,0.16,2.53,2.24,1.55,1.55,1.15,2.76,0.23,0.35,1.15,24.73,25.98,24.18,10.58,11.95,-0.62,4.24,0.81,0.78,0.74,0.61,0.85,0.23,0.3,0.54,6.09,93.24,165.25,50.08,,,,,
2067,Sidi Bennour,interemédiaire,Blé dur,Wheat,,S2,,26/02/2020,Yes,Yes,27/12/2019,No,,No Seconde N,2.56,89%,0.147,,,,0.111,0.104,0.076,0.124,0.341,0.444,0.434,0.476,0.148,1.008,0.002,5.179,0.646,0.806,833.751,835.907,0.569,3.501,,,,,,,,,,20.48,,,4.88,"2,291.95",285.09,701.85,-0.48,2.8,0.58,0.53,0.52,0.41,0.61,0.13,0.15,0.35,4.02,8.2,0.75,0.21,0.56,11.79,0.71,0.81,0.78,0.53,0.87,0.16,2.53,2.24,1.55,1.55,1.15,2.76,0.23,0.35,1.15,24.73,25.98,24.18,10.58,11.95,-0.62,4.24,0.81,0.78,0.74,0.61,0.85,0.23,0.3,0.54,6.09,93.24,165.25,50.08,,,,,
2068,Sidi Bennour,interemédiaire,Blé dur,Wheat,,S2,,13/03/2020,Yes,Yes,27/12/2019,No,,No Seconde N,2.73,70%,0.172,0.004,0.272,0.16,0.143,0.138,0.127,0.176,0.346,0.424,0.426,0.461,0.192,0.582,0.002,4.005,0.475,0.621,832.039,834.409,0.457,3.259,481.68,722.36,601.02,"2,681.10","1,863.79","3,296.81",329.65,329.52,883.42,19.27,332.64,0.73,3.92,"2,399.02",228.74,658.95,-0.53,2.27,0.59,0.36,0.56,0.58,0.63,0.1,0.13,0.31,3.82,6.68,0.81,0.12,0.54,11.24,0.85,0.82,0.61,0.87,0.95,0.1,3.57,2.36,1.04,2.24,2.59,3.68,0.12,0.23,0.92,28.06,27.82,26.62,11.68,13.24,-0.66,4.12,0.91,0.72,0.86,0.86,0.93,0.27,0.36,0.66,6.93,116.12,193.55,49.28,,,,,
2070,Safi,défavorable,Blé tendre,Wheat,,S2,18/11/2019,26/02/2020,Yes,Yes,20/01/2020,No,,No Seconde N,1.91,75%,0.143,0.001,0.189,0.091,0.11,0.106,0.063,0.119,0.324,0.395,0.381,0.421,0.129,0.902,0.003,4.175,0.616,0.824,829.546,832.227,0.538,2.436,373.75,724.5,504.28,"4,075.03","1,944.08","3,344.20",334.39,334.4,722.78,15.04,337.34,0.9,3.42,"2,279.76",264.62,637.45,-0.38,1.55,0.42,0.4,0.35,0.19,0.49,0.1,0.13,0.25,2.89,5.22,0.62,0.16,0.38,9.73,0.75,0.7,0.71,0.32,0.85,0.1,2.3,1.55,1.27,1.27,0.52,2.42,0.12,0.23,0.46,18.4,31.81,27.57,11.07,12.55,-0.53,2.82,0.71,0.7,0.64,0.38,0.75,0.22,0.26,0.45,5.25,131.27,214.14,60.86,,,,,
2071,Safi,défavorable,Blé tendre,Wheat,,S1,01/11/2019,29/01/2020,Yes,Yes,01/01/2020,No,,After,3.2,89%,0.145,0.001,0.199,0.103,0.108,0.102,0.069,0.124,0.305,0.364,0.358,0.383,0.122,0.728,0.002,3.816,0.567,0.778,828.481,831.296,0.497,2.737,533.6,916.55,"1,174.73","3,251.63","2,972.75","3,421.25",342.14,342.01,"1,847.48",19.9,346.58,0.54,3.42,"2,279.76",264.62,637.45,-0.38,1.55,0.42,0.4,0.35,0.19,0.49,0.1,0.13,0.25,2.89,5.22,0.62,0.16,0.38,9.73,0.75,0.7,0.71,0.32,0.85,0.1,2.3,1.55,1.27,1.27,0.52,2.42,0.12,0.23,0.46,18.4,31.81,27.57,11.07,12.55,-0.53,2.82,0.71,0.7,0.64,0.38,0.75,0.22,0.26,0.45,5.25,131.27,214.14,60.86,,,,,
